time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160619:1710,21286,5.64,118.19,2.65,19.69,14.39,3.17,0
20160619:1810,5972,0,44.2,0.99,10.09,14.07,3.13,0
20160619:1910,0,0,0,0,0,13.18,2.57,0
20160619:2010,0,0,0,0,0,12.29,2.02,0
20160619:2110,0,0,0,0,0,11.4,1.46,0
20160619:2210,0,0,0,0,0,11.1,1.52,0
20160619:2310,0,0,0,0,0,10.81,1.57,0
20160620:0010,0,0,0,0,0,10.52,1.63,0
20160620:0110,0,0,0,0,0,10.13,1.29,0
20160620:0210,0,0,0,0,0,9.74,0.96,0
20160620:0310,0,0,0,0,0,9.36,0.62,0
20160620:0410,1426,0,17,0.38,5.11,9.98,0.7,0
20160620:0510,10784,0,68.85,1.53,14.35,10.6,0.78,0
20160620:0610,23150,2.25,128.98,2.8,24.19,11.22,0.86,0
20160620:0710,59382,81.09,232.55,6.99,34.3,12.63,0.86,0
20160620:0810,94006,211.72,279.97,10.21,44.35,14.05,0.86,0
20160620:0910,127326,386.31,291.95,13.17,53.78,15.46,0.87,0
20160620:1010,153076,556.98,277.17,15.4,61.57,16.73,1.01,0
20160620:1110,160304,581.46,302.4,15.92,65.8,17.99,1.14,0
20160620:1210,140104,379.52,386.04,14,64.51,19.26,1.28,0
20160620:1310,137728,404.46,345.62,13.62,58.39,19.73,1.44,0
20160620:1410,135774,502.75,233.03,13.34,49.68,20.19,1.6,0
20160620:1510,112596,445.18,158.8,11.44,39.89,20.65,1.77,0
20160620:1610,70574,231.76,152.51,8.03,29.77,20.13,1.79,0
20160620:1710,13824,0.63,86.82,1.84,19.74,19.6,1.82,0
20160620:1810,1230,0,16.15,0.36,10.13,19.08,1.85,0
20160620:1910,0,0,0,0,0,17.96,1.74,0
20160620:2010,0,0,0,0,0,16.84,1.63,0
20160620:2110,0,0,0,0,0,15.73,1.52,0
20160620:2210,0,0,0,0,0,15.46,1.51,0
20160620:2310,0,0,0,0,0,15.19,1.51,0
20160621:0010,0,0,0,0,0,14.92,1.5,0
20160621:0110,0,0,0,0,0,14.49,1.56,0
20160621:0210,0,0,0,0,0,14.06,1.61,0
20160621:0310,0,0,0,0,0,13.64,1.67,0
20160621:0410,196,0,7.65,0.17,5.08,13.84,1.79,0
20160621:0510,914,0,13.6,0.3,14.32,14.05,1.91,0
20160621:0610,18122,0.45,106.69,2.25,24.15,14.25,2.03,0
